設定,
,
策略名稱,DIF-MACD從負翻正(系統)
執行頻率,日
開始日期,2023/04/22
結束日期,2026/04/22
模擬逐筆洗價,是
每日部位歸零,否
商品名稱,"Paramount Skydance(PSKY.US),Qnity(Q.US),AutoZone(AZO.US),Corpay(CPAY.US),Booking Holdings(BKNG.US),CDW(CDW.US),Assurant(AIZ.US),Cooper(COO.US),Block(XYZ.US),West Pharmaceutical Services(WST.US),Expand Energy(EXE.US),Martin Marietta Materials(MLM.US),W.W. Grainger(GWW.US),Akamai(AKAM.US),Gartner(IT.US),J. M. Smucker(SJM.US),Cintas(CTAS.US),Norfolk Southern(NSC.US),Bristol-Myers Squibb(BMY.US),Nasdaq(NDAQ.US),Thermo Fisher Scientific(TMO.US),Veralto(VLTO.US),Cencora(COR.US),TransDigm Group(TDG.US),EMCOR Group(EME.US),Everest Group(EG.US),Roper Technologies(ROP.US),Biogen(BIIB.US),Bio-Techne(TECH.US),Generac(GNRC.US),Camden Property Trust(CPT.US),Digital Realty Trust(DLR.US),Palantir Technologies(PLTR.US),Caterpillar(CAT.US),AMETEK(AME.US),Equinix(EQIX.US),American Water Works(AWK.US),Jack Henry & Associates(JKHY.US),Alliant Energy(LNT.US),DaVita(DVA.US),Hasbro(HAS.US),American Tower(AMT.US),Align Technology(ALGN.US),Garmin(GRMN.US),Motorola Solutions(MSI.US),Interactive Brokers(IBKR.US),General Dynamics(GD.US),Teledyne Technologies(TDY.US),O'Reilly Automotive(ORLY.US),Erie Indemnity(ERIE.US),Solventum(SOLV.US),Extra Space(EXR.US),Aflac(AFL.US),Carnival Corporation(CCL.US),Emerson Electric(EMR.US),Mettler Toledo(MTD.US),Old Dominion Freight Line(ODFL.US),Zimmer Biomet(ZBH.US),Take-Two(TTWO.US),PACCAR(PCAR.US),Entergy(ETR.US),Verisk Analytics(VRSK.US),Leidos(LDOS.US),Insulet(PODD.US),Essex Property Trust, Inc.(ESS.US),Rockwell Automation(ROK.US),Regeneron Pharmaceuticals(REGN.US),NXP Semiconductors(NXPI.US),Builders FirstSource(BLDR.US),Tyler Technologies(TYL.US),IDEX Corp.(IEX.US),HCA Healthcare(HCA.US),Deckers Outdoor Corporation(DECK.US),Jacobs Solutions(J.US),Hubbell(HUBB.US),Diamondback Energy(FANG.US),Nordson(NDSN.US),Loews(L.US),Cboe Global Markets(CBOE.US),NVR, Inc.(NVR.US),Chipotle Mexican Grill Inc.(CMG.US),Iron Mountain(IRM.US),Autodesk(ADSK.US),A. O. Smith(AOS.US),FirstEnergy(FE.US),Ameriprise Financial(AMP.US),Verizon Communications(VZ.US),Huntington Ingalls Industries(HII.US),Northern Trust Corporation(NTRS.US),Pool(POOL.US),Quanta Services(PWR.US),ServiceNow(NOW.US),Monolithic Power Systems(MPWR.US),Fortinet(FTNT.US),Intel(INTC.US),KLA(KLAC.US),Baxter(BAX.US),The Hartford(HIG.US),Fair Isaac(FICO.US),Synopsys(SNPS.US),Johnson & Johnson(JNJ.US),Hilton(HLT.US),Regency Centers(REG.US),Occidental Petroleum(OXY.US),Applovin(APP.US),Vertiv(VRT.US),Moody's(MCO.US),S&P Global(SPGI.US),International Flavors & Fragrances(IFF.US),Electronic Arts(EA.US),PTC(PTC.US),Broadridge Financial Solutions(BR.US),Fiserv(FISV.US),Cognizant(CTSH.US),NVIDIA(NVDA.US),Axon Enterprise(AXON.US),Masco(MAS.US),Vistra(VST.US),Tyson Foods(TSN.US),News Corp - Class B(NWS.US),Arch Capital Group(ACGL.US),Cardinal Health(CAH.US),Ameren Corporation(AEE.US),TJX(TJX.US),Berkshire Hathaway - Class B(BRK.B.US),Automatic Data Processing(ADP.US),L3Harris Technologies(LHX.US),Mastercard(MA.US),General Motors(GM.US),Coinbase(COIN.US),Mid-America Apartment(MAA.US),PPL(PPL.US),UPS(UPS.US),VICI Properties(VICI.US),Altria Group(MO.US),Alexandria Real Estate Equity(ARE.US),Micron(MU.US),CrowdStrike Holdings(CRWD.US),Teradyne(TER.US),Dover(DOV.US),Air Products and Chemicals(APD.US),Brown & Brown(BRO.US),Smurfit Westrock(SW.US),Seagate(STX.US),Public Storage(PSA.US),AT&T(T.US),Pfizer(PFE.US),W.R. Berkley(WRB.US),Coca-Cola(KO.US),Waters(WAT.US),Adobe(ADBE.US),Ulta Beauty(ULTA.US),Keysight Technologies(KEYS.US),United Rentals(URI.US),Globe Life(GL.US),Charter Communications(CHTR.US),Church & Dwight(CHD.US),Textron(TXT.US),Stryker(SYK.US),CoStar Group(CSGP.US),Mondelez International(MDLZ.US),Ares Management(ARES.US),CMS Energy(CMS.US),Applied Materials(AMAT.US),Dominion Energy(D.US),Eli Lilly(LLY.US),Xcel Energy(XEL.US),Live Nation Entertainment(LYV.US),Avalonbay Communities(AVB.US),Parker Hannifin(PH.US),SBA Communications(SBAC.US),Intuitive Surgical(ISRG.US),Agilent(A.US),Fifth Third(FITB.US),Steel Dynamics(STLD.US),Snap-On(SNA.US),Edwards Lifesciences(EW.US),IQVIA(IQV.US),ResMed(RMD.US),Global Payments(GPN.US),NetApp(NTAP.US),Xylem(XYL.US),Aptiv(APTV.US),Starbucks(SBUX.US),McCormick - Common Stock Non-Voting(MKC.US),MGM Resorts(MGM.US),Vulcan Materials(VMC.US),AMD(AMD.US),Lennar - Class A(LEN.US),Zebra Technologies(ZBRA.US),Freeport-McMoran(FCX.US),Fastenal(FAST.US),Chubb(CB.US),Stanley Black & Decker(SWK.US),International Paper(IP.US),Principal Financial(PFG.US),Western Digital(WDC.US),Dollar Tree, Inc.(DLTR.US),FedEx(FDX.US),Eversource Energy(ES.US),Apple(AAPL.US),Sempra(SRE.US),Cummins(CMI.US),Ventas(VTR.US),Trade Desk(TTD.US),Palo Alto(PANW.US),Darden Restaurants(DRI.US),Ross Stores, Inc.(ROST.US),Linde(LIN.US),Ciena(CIEN.US),lululemon athletica(LULU.US),Marsh(MRSH.US),D.R. Horton(DHI.US),Host Hotels & Resorts(HST.US),CBRE Group(CBRE.US),CSX(CSX.US),Best Buy(BBY.US),MSCI(MSCI.US),Atmos Energy(ATO.US),Consolidated Edison(ED.US),Datadog(DDOG.US),EchoStar(SATS.US),Procter & Gamble(PG.US),PulteGroup(PHM.US),Albemarle(ALB.US),Fortive(FTV.US),Crown Castle(CCI.US),Federal Realty Investment Trust(FRT.US),Mosaic(MOS.US),American Express(AXP.US),Uber(UBER.US),CenterPoint Energy(CNP.US),Jabil(JBL.US),Monster Beverage(MNST.US),Microsoft(MSFT.US),eBay Inc.(EBAY.US),Workday(WDAY.US),F5(FFIV.US),Cigna Group(CI.US),Weyerhaeuser(WY.US),News Corp - Class A(NWSA.US),Copart(CPRT.US),Allstate(ALL.US),Kinder Morgan(KMI.US),Intercontinental Exchange(ICE.US),Wynn Resorts, Limited(WYNN.US),Netflix(NFLX.US),VeriSign(VRSN.US),Gen(GEN.US),Colgate-Palmolive(CL.US),TKO(TKO.US),Invitation Homes(INVH.US),Constellation Brands(STZ.US),Airbnb(ABNB.US),Expedia Group(EXPE.US),IDEXX Laboratories(IDXX.US),Cincinnati Financial(CINF.US),Boeing(BA.US),Comfort Systems USA(FIX.US),Wells Fargo(WFC.US),Marriott International(MAR.US),Salesforce(CRM.US),NRG Energy(NRG.US),Lumentum(LITE.US),U.S. Bancorp(USB.US),Estee Lauder(EL.US),Lowe's(LOW.US),Realty Income(O.US),Corteva(CTVA.US),Texas Instruments(TXN.US),DuPont de Nemours(DD.US),Danaher(DHR.US),Texas Pacific Land(TPL.US),Simon Property Group Inc.(SPG.US),Huntington Bancshares(HBAN.US),Lockheed Martin(LMT.US),KeyCorp(KEY.US),STERIS(STE.US),Halliburton(HAL.US),Exxon Mobil(XOM.US),Sysco Corp.(SYY.US),Blackstone(BX.US),Republic Services(RSG.US),Pinnacle West(PNW.US),Baker Hughes(BKR.US),SLB(SLB.US),PG&E(PCG.US),Keurig Dr Pepper(KDP.US),QUALCOMM(QCOM.US),Sandisk(SNDK.US),Avery Dennison(AVY.US),Arista Networks(ANET.US),APA(APA.US),Lam Research(LRCX.US),Genuine Parts(GPC.US),Broadcom(AVGO.US),Philip Morris International Inc.(PM.US),Prologis(PLD.US),J.B. Hunt Transport Services(JBHT.US),Kenvue(KVUE.US),NiSource(NI.US),Vertex Pharmaceuticals(VRTX.US),Omnicom Group(OMC.US),JPMorgan Chase(JPM.US),Welltower(WELL.US),Gilead Sciences(GILD.US),HP Enterprise(HPE.US),Merck(MRK.US),EPAM Systems(EPAM.US),Walmart(WMT.US),Charles Schwab(SCHW.US),Zoetis(ZTS.US),Yum! Brands(YUM.US),Robinhood Markets(HOOD.US),Lennox International Inc.(LII.US),Newmont(NEM.US),Expeditors(EXPD.US),Domino’s Pizza(DPZ.US),Williams(WMB.US),Casey's General(CASY.US),Franklin Resources(BEN.US),Paychex(PAYX.US),Chevron(CVX.US),Citizens Financial Group(CFG.US),FactSet Research(FDS.US),Carrier Global(CARR.US),Universal Health Services(UHS.US),C.H. Robinson Worldwide(CHRW.US),Bank of New York Mellon(BK.US),Charles River(CRL.US),Honeywell(HON.US),Waste Management(WM.US),Exelon(EXC.US),Duke Energy(DUK.US),Rollins(ROL.US),Illinois Tool Works Inc.(ITW.US),Aon(AON.US),PNC Financial Services(PNC.US),Wabtec(WAB.US),Travelers(TRV.US),Henry Schein(HSIC.US),Accenture(ACN.US),Willis Towers Watson(WTW.US),Ecolab(ECL.US),Equifax(EFX.US),BlackRock(BLK.US),M&T Bank(MTB.US),Packaging Corporation of America(PKG.US),Abbott(ABT.US),Hershey(HSY.US),RTX(RTX.US),Delta Air(DAL.US),Trimble(TRMB.US),GoDaddy(GDDY.US),Ford Motor(F.US),Centene(CNC.US),Citigroup(C.US),Ralph Lauren(RL.US),PepsiCo(PEP.US),Dell(DELL.US),Dollar General(DG.US),Nucor(NUE.US),Coterra Energy(CTRA.US),Targa Resources(TRGP.US),Arthur J. Gallagher(AJG.US),Regions Financial(RF.US),Costco(COST.US),Royal Caribbean Cruises(RCL.US),WEC Energy(WEC.US),Southwest Airlines(LUV.US),Microchip Technology(MCHP.US),Ingersoll Rand(IR.US),Marathon Petroleum(MPC.US),Clorox(CLX.US),Revvity(RVTY.US),Super Micro Computer(SMCI.US),United Airlines(UAL.US),T. Rowe Price Group(TROW.US),State Street(STT.US),Evergy(EVRG.US),McKesson(MCK.US),Bunge(BG.US),Howmet Aerospace(HWM.US),Northrop Grumman(NOC.US),BXP(BXP.US),Fox - Class B(FOX.US),GE Vernova(GEV.US),Disney(DIS.US),NextEra Energy(NEE.US),DTE Energy(DTE.US),Hormel Foods(HRL.US),Sherwin-Williams(SHW.US),GE Aerospace(GE.US),Constellation(CEG.US),Prudential Financial(PRU.US),BD(BDX.US),First Solar(FSLR.US),HP(HPQ.US),AIG(AIG.US),Humana(HUM.US),KKR(KKR.US),Campbell's(CPB.US),Skyworks Solutions(SWKS.US),Intuit(INTU.US),LyondellBasell(LYB.US),Incyte(INCY.US),Johnson Controls(JCI.US),Viatris(VTRS.US),Goldman Sachs(GS.US),ConocoPhillips(COP.US),Public Service Enterprise(PEG.US),Archer-Daniels-Midland(ADM.US),Bank of America(BAC.US),Amcor(AMCR.US),Williams-Sonoma(WSM.US),American Electric Power(AEP.US),Tractor Supply(TSCO.US),Norwegian Cruise Line Holdings(NCLH.US),Corning(GLW.US),Amgen Inc.(AMGN.US),GE HealthCare(GEHC.US),Capital One Financial(COF.US),Eaton(ETN.US),ONEOK(OKE.US),Phillips 66(PSX.US),Kimberly-Clark(KMB.US),Progressive(PGR.US),General Mills(GIS.US),Deere(DE.US),Elevance Health(ELV.US),Home Depot(HD.US),Analog Devices(ADI.US),Allegion plc(ALLE.US),Southern(SO.US),Alphabet - Class C Capital Stock(GOOG.US),Medtronic(MDT.US),Union Pacific(UNP.US),Oracle(ORCL.US),Healthpeak Properties(DOC.US),Truist Financial(TFC.US),Equity Residential(EQR.US),AbbVie(ABBV.US),Pentair(PNR.US),Trane Technologies(TT.US),Invesco(IVZ.US),Cisco(CSCO.US),Raymond James(RJF.US),Valero Energy(VLO.US),Fidelity National Information Services(FIS.US),PayPal(PYPL.US),Warner Bros. Discovery(WBD.US),Edison International(EIX.US),Conagra Brands(CAG.US),TE Connectivity(TEL.US),Apollo Global Management(APO.US),Cadence Design Systems(CDNS.US),Tapestry(TPR.US),Amphenol(APH.US),DexCom(DXCM.US),Visa(V.US),Tesla(TSLA.US),Coherent(COHR.US),3M(MMM.US),Kimco Realty(KIM.US),Kraft Heinz(KHC.US),CVS Health(CVS.US),Meta(META.US),IBM(IBM.US),Ball(BALL.US),McDonald's(MCD.US),CME Group Inc.(CME.US),EOG Resources, Inc.(EOG.US),The AES Corporation(AES.US),Boston Scientific(BSX.US),Moderna(MRNA.US),Brown-Forman - Class B(BF.B.US),Devon Energy(DVN.US),DoorDash(DASH.US),Quest Diagnostics(DGX.US),Otis Worldwide(OTIS.US),CRH(CRH.US),Synchrony(SYF.US),PPG(PPG.US),UnitedHealth(UNH.US),Dow(DOW.US),UDR(UDR.US),Fox - Class A(FOXA.US),Las Vegas Sands Corp.(LVS.US),Kroger(KR.US),CF Industries Holdings Inc.(CF.US),Labcorp(LH.US),MetLife, Inc.(MET.US),NIKE(NKE.US),EQT(EQT.US),T-Mobile US(TMUS.US),Target(TGT.US),ON Semiconductor(ON.US),Comcast(CMCSA.US),Morgan Stanley(MS.US),Alphabet - Class A Common Stock(GOOGL.US),Molson Coors - Class B(TAP.US),Carvana(CVNA.US),Amazon(AMZN.US)"
參數設定,
